Fuel Type Code,City,State,ZIP_Code,Status Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,ID,Open Date
ELEC,Arlington,TX,76011,E,3,0,SHELL_RECHARGE,204824,1/11/2022
ELEC,Arlington,TX,76011,E,2,0,SHELL_RECHARGE,204825,1/11/2022
ELEC,Redmond,WA,98053,E,2,0,SHELL_RECHARGE,204826,1/11/2022
ELEC,Kingston,WA,98346,E,4,0,SHELL_RECHARGE,204827,1/11/2022
ELEC,Bremerton,WA,98311,E,2,0,SHELL_RECHARGE,204828,1/11/2022
ELEC,Rancho Cordova,CA,95670,E,0,1,SHELL_RECHARGE,204829,1/11/2022
ELEC,Waukegan,IL,60085,E,2,0,SHELL_RECHARGE,204831,1/11/2022
ELEC,Schaumburg,IL,60173,E,2,0,SHELL_RECHARGE,204832,1/11/2022
ELEC,Bethlehem,PA,18017,E,2,0,SHELL_RECHARGE,204833,1/11/2022
ELEC,Bensalem,PA,19020,E,2,0,SHELL_RECHARGE,204834,1/11/2022
ELEC,Elizabeth,NJ,07208,E,2,0,SHELL_RECHARGE,204835,1/11/2022
ELEC,Wayne,NJ,07470,E,2,0,SHELL_RECHARGE,204836,1/11/2022
ELEC,Wayne,NJ,07470,E,3,0,SHELL_RECHARGE,204837,1/11/2022
ELEC,Wayne,NJ,07470,E,3,0,SHELL_RECHARGE,204838,1/11/2022
ELEC,Fairfield,CT,06825,E,2,0,SHELL_RECHARGE,204839,1/11/2022
ELEC,Worcester,MA,01606,E,2,0,SHELL_RECHARGE,204840,1/11/2022
ELEC,Potomac,MD,20854,E,2,0,SHELL_RECHARGE,204842,1/11/2022
ELEC,Overland Park,KS,66207,E,2,0,ChargePoint Network,204898,1/15/2022
